date,CPI,UNRATE,FEDFUNDS,UMCSENT,INDPRO,PI
2024-01-01,287.27730415011183,4.095785927403931,4.641400139042578,88.78753120090497,106.28782031625985,2533.1875720847434
2024-02-01,287.377537729901,4.073544304897562,4.662777533420388,88.62302647083766,106.03178458479287,2533.4567072116306
2024-03-01,287.43168963511255,4.082799474169162,4.650392182079558,88.68386994766978,106.216885655326,2533.4477312461504
2024-04-01,287.46094558750104,4.078948219242889,4.657567842738886,88.66136646906764,106.08306680857285,2533.4480306049045
2024-05-01,287.476751324101,4.0805508008998945,4.653410503598406,88.6696895724727,106.17981116393916,2533.4480206209464
2024-06-01,287.4852904858466,4.079883935678938,4.655819127633114,88.66661120172319,106.10986981769136,2533.448020953923
2024-07-01,287.4899038287842,4.080161431194362,4.654423650972554,88.66774976338827,106.16043392446981,2533.448020942818
2024-08-01,287.4923962201563,4.080045959943709,4.655232143739423,88.66732865665011,106.12387859587713,2533.448020943188
2024-09-01,287.4937427523426,4.080094009764287,4.65476372991886,88.6674844065672,106.15030627617561,2533.448020943176
2024-10-01,287.49447022594444,4.080074015304675,4.655035113308156,88.66742680113258,106.1312003807331,2533.4480209431763
2024-11-01,287.49486324873794,4.080082335386007,4.654877882797968,88.66744810699366,106.14501299071391,2533.4480209431763
2024-12-01,287.4950755821007,4.080078873239256,4.654968976926455,88.6674402268393,106.13502716225295,2533.4480209431763
