country,date,gdp_usd
India,2005,820383763511.445
India,2006,940259888787.721
India,2007,1216736438834.96
India,2008,1198895139005.92
India,2009,1341888016994.9
India,2010,1675615519484.96
India,2011,1823051829894.55
India,2012,1827637590410.41
India,2013,1856721507621.58
India,2014,2039126479154.52
India,2015,2103588360044.94
India,2016,2294796885663.16
India,2017,2651474262755.45
India,2018,2702929641648.74
India,2019,2835606256558.19
India,2020,2674851578587.27
India,2021,3167270623260.47
India,2022,3353470496886.33
India,2023,3567551674623.01
India,2024,
