Feature,Importance
retail_sales,1.0
retail_sales_lag_1,0.0
interest_rate_lending,0.0
rate_spread_lending,0.0
lending_rate_mom_lending,0.0
lending_rate_3m_avg_lending,0.0
lending_rate_6m_avg_lending,0.0
wpi_index_wpi,0.0
wpi_inflation_wpi,0.0
wpi_mom_wpi,0.0
wpi_3m_avg_wpi,0.0
wpi_6m_avg_wpi,0.0
interest_rate_repo,0.0
usd_inr_usd_inr,0.0
retail_sales_lag_3,0.0
oil_price_oil,0.0
retail_sales_lag_6,0.0
retail_sales_lag_12,0.0
retail_sales_rolling_mean_3,0.0
retail_sales_rolling_std_3,0.0
retail_sales_rolling_mean_6,0.0
retail_sales_rolling_std_6,0.0
retail_sales_rolling_mean_12,0.0
retail_sales_rolling_std_12,0.0
month_sin,0.0
month_cos,0.0
quarter,0.0
year,0.0
lending_rate_lending,0.0
cpi_6m_avg_cpi,0.0
cpi_3m_avg_cpi,0.0
inflation_yoy_cpi,0.0
oil_price_mom_oil,0.0
oil_price_yoy_oil,0.0
oil_volatility_1m_oil,0.0
oil_volatility_3m_oil,0.0
oil_price_30d_avg_oil,0.0
oil_price_90d_avg_oil,0.0
oil_price_180d_avg_oil,0.0
oil_momentum_oil,0.0
iip_durable_iip,0.0
iip_nondurable_iip,0.0
iip_combined_iip,0.0
iip_durable_yoy_iip,0.0
iip_nondurable_yoy_iip,0.0
iip_combined_yoy_iip,0.0
iip_durable_mom_iip,0.0
iip_nondurable_mom_iip,0.0
iip_combined_mom_iip,0.0
iip_durable_3m_avg_iip,0.0
iip_durable_6m_avg_iip,0.0
iip_nondurable_3m_avg_iip,0.0
iip_nondurable_6m_avg_iip,0.0
iip_combined_3m_avg_iip,0.0
iip_combined_6m_avg_iip,0.0
cpi_index_cpi,0.0
inflation_mom_cpi,0.0
retail_sales_yoy_change,0.0
